h_number,h_name,h_score,h_price,h_address,h_link
2-21,成都壹都锦酒店式服务公寓,4.7,299,位于春熙路，成都锦江区华兴正街68号，靠近王府井百货总府店,http://hotel.qunar.com//bnb.qunar.com/city/chengdu/dt-16578/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-22,西金酒店(成都双流国际机场店),4.5,145,位于双流区，成都双流区珠江路599号蓝光空港国际城7期泰迪熊广场2栋15楼，成都信息工程学院航空港校…,http://hotel.qunar.com//bnb.qunar.com/city/chengdu/dt-23524/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-23,成都空港大酒店,4.7,680,位于双流区，成都双流国际机场北二路6号,http://hotel.qunar.com/city/chengdu/dt-7396/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-24,凯里亚德酒店(成都双楠红牌楼店),4.8,254,位于武侯区，成都武侯区武青南路40号D座，西部智谷商务中心附近,http://hotel.qunar.com/city/chengdu/dt-47980/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-25,全季酒店(成都春熙路店),4.6,320,位于春熙路，成都锦江区总府路8号1栋18层，靠近王府井百货总府店,http://hotel.qunar.com/city/chengdu/dt-10746/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-26,成都瑞吉酒店,4.7,1281,位于春熙路，成都青羊区太升南路88号，靠近蜀都大厦,http://hotel.qunar.com/city/chengdu/dt-7168/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-27,成都帝盛君豪酒店,4.6,373,位于骡马市，成都青羊区西玉龙街168号，紧挨骡马市地铁站E口,http://hotel.qunar.com/city/chengdu/dt-5419/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-28,成都博舍,4.6,2124,位于春熙路，成都锦江区笔帖式街81号(位于太古里内)，靠近大慈寺,http://hotel.qunar.com//bnb.qunar.com/city/chengdu/dt-13054/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-29,成都龙之梦大酒店,4.5,588,位于成华区，成都成华区嘉陵江路8号-A，靠近成都东站东广场,http://hotel.qunar.com/city/chengdu/dt-15554/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
2-30,四川锦江宾馆东楼,4.6,489,位于华西坝，成都锦江区人民南路二段80号-3，靠近仁恒置地广场,http://hotel.qunar.com/city/chengdu/dt-19799/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=49b17bd5-a633-4775-b8a9-b2351e992450&showMap=0&qptype=&QHFP=ZSS_A100179F/
