h_number,h_name,h_score,h_price,h_address,h_link
2-16,深圳海景嘉途酒店(原奥思廷酒店),4.4,519,位于华侨城，深圳南山区华侨城光侨街3-5号，靠近何香凝美术馆,http://hotel.qunar.com/city/shenzhen/dt-153/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-17,柏槿酒店(深圳东门湖贝地铁站店),4.9,391,位于东门商业区，深圳罗湖区深南东路2075号(湖贝地铁站D出口)，国贸大厦附近,http://hotel.qunar.com/city/shenzhen/dt-8068/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-18,深圳本京国际酒店,4.3,284,位于宝安中心区，深圳宝安区兴业路2005号广兴源互联网创意园B栋，坪洲地铁站D口附近,http://hotel.qunar.com/city/shenzhen/dt-13028/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-20,深圳美景酒店,4.8,488,位于龙华区，深圳龙华区新区大道356号(与民宝路交汇处)，七星商业广场附近,http://hotel.qunar.com/city/shenzhen/dt-14273/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-21,吾遇精品酒店(深圳北站壹城中心店),4.8,185,位于龙华新区，深圳龙华区龙华新区人民南路57号(丰润居委会公交站)，龙华地铁站A口附近,http://hotel.qunar.com/city/shenzhen/dt-12025/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-22,深圳有园酒店,4.4,475,位于南油，深圳南山区蛇口南海大道1113-1115号美年广场内，水湾地铁站C口附近,http://hotel.qunar.com/city/shenzhen/dt-4534/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-23,深圳鸿丰国际大酒店(南山),4.4,569,位于南油，深圳南山区东滨路4096号,http://hotel.qunar.com/city/shenzhen/dt-1960/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-24,深圳福田香格里拉大酒店,4.7,1166,位于福田区，深圳福田区益田路4088号，靠近免税商务大厦,http://hotel.qunar.com/city/shenzhen/dt-2400/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-25,维也纳酒店(深圳福永地铁站店),4.9,403,位于福永，深圳宝安区福永街道华丽工业园B2栋宝安大道旁,http://hotel.qunar.com/city/shenzhen/dt-16405/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-26,维也纳国际酒店(深圳机场航城店),4.7,320,位于宝安区，深圳宝安区航城街道后瑞社区新瑞路11号(后瑞地铁站B出口旁,http://hotel.qunar.com/city/shenzhen/dt-15724/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-27,深圳坂田中成亚朵酒店,4.8,469,位于坂田，深圳龙岗区坂田街道五和大道4012号,http://hotel.qunar.com/city/shenzhen/dt-20290/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-28,深圳若玺酒店,4.6,688,位于南山中心区，深圳南山区高新科技园南区粤兴六道6号，海岸城附近,http://hotel.qunar.com/city/shenzhen/dt-24058/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-29,深圳阳光酒店,4.5,628,位于国贸，深圳罗湖区嘉宾路2001号，靠近金光华广场,http://hotel.qunar.com/city/shenzhen/dt-213/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
2-30,深圳金茂园大酒店,4.5,376,位于坪山新区，深圳坪山区金牛西路33号,http://hotel.qunar.com/city/shenzhen/dt-7871/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=363f6f66-425a-4623-9bb6-d908271fac48&showMap=0&qptype=&QHFP=ZSS_A12165EF/
3-1,维也纳酒店(深圳坑梓莹展花园店),4.9,218,位于坪山区，深圳坪山区坑梓街道龙田社区丰颂酒业大厦,http://hotel.qunar.com/city/shenzhen/dt-13931/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e3233cf6-a325-4904-835f-1e0c12878f2a&showMap=0&qptype=&QHFP=ZSS_A1216674/
3-2,深圳君悦酒店,4.6,1096,位于东门商业区，深圳罗湖区宝安南路1881号，靠近万象城,http://hotel.qunar.com/city/shenzhen/dt-585/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e3233cf6-a325-4904-835f-1e0c12878f2a&showMap=0&qptype=&QHFP=ZSS_A1216674/
3-3,深圳四季酒店,4.7,1811,位于福田区，深圳福田区福华三路138号，免税商务大厦附近,http://hotel.qunar.com/city/shenzhen/dt-7005/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e3233cf6-a325-4904-835f-1e0c12878f2a&showMap=0&qptype=&QHFP=ZSS_A1216674/
3-4,深圳栎宜酒店,4.8,207,位于沙井，深圳宝安区福永街道凤塘大道06号新田大厦,http://hotel.qunar.com/city/shenzhen/dt-13578/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e3233cf6-a325-4904-835f-1e0c12878f2a&showMap=0&qptype=&QHFP=ZSS_A1216674/
3-5,深圳安蒂娅美兰酒店,4.7,810,位于西乡，深圳宝安区西乡街道水库路108号，西乡会堂附近,http://hotel.qunar.com/city/shenzhen/dt-21244/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=e3233cf6-a325-4904-835f-1e0c12878f2a&showMap=0&qptype=&QHFP=ZSS_A1216674/
